num,type,d_le,a_le,gender,a1_r1,a1_r2,a1_r3,a1_r4,a1_r5,a1_r6,a1_r7,a1_r8,a1_r9,a1_r10,a1_r11,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16,a1_r17,a1_r18,a1_r19,a1_r20,a1_r21,a1_r22,a1_r23,a1_r24,a2_r1,a2_r2,a2_r3,a2_r4,a2_r5,a2_r6,a2_r7,a2_r8,a2_r9,a2_r10,a2_r11,a2_r12,a2_r13,a2_r14,a2_r15,a2_r16,a2_r17,a2_r18,a2_r19,a2_r20,a2_r21,a2_r22,a2_r23,a2_r24,a3_r1,a3_r2,a3_r3,a3_r4,a3_r5,a3_r6,a3_r7,a3_r8,a3_r9,a3_r10,a3_r11,a3_r12,a3_r13,a3_r14,a3_r15,a3_r16,a3_r17,a3_r18,a3_r19,a3_r20,a3_r21,a3_r22,a3_r23,a3_r24,d1_r1,d1_r2,d1_r3,d1_r4,d1_r5,d1_r6,d1_r7,d1_r8,d1_r9,d1_r10,d1_r11,d1_r12,d1_r13,d1_r14,d1_r15,d1_r16,d1_r17,d1_r18,d1_r19,d1_r20,d1_r21,d1_r22,d1_r23,d1_r24,d2_r1,d2_r2,d2_r3,d2_r4,d2_r5,d2_r6,d2_r7,d2_r8,d2_r9,d2_r10,d2_r11,d2_r12,d2_r13,d2_r14,d2_r15,d2_r16,d2_r17,d2_r18,d2_r19,d2_r20,d2_r21,d2_r22,d2_r23,d2_r24,d3_r1,d3_r2,d3_r3,d3_r4,d3_r5,d3_r6,d3_r7,d3_r8,d3_r9,d3_r10,d3_r11,d3_r12,d3_r13,d3_r14,d3_r15,d3_r16,d3_r17,d3_r18,d3_r19,d3_r20,d3_r21,d3_r22,d3_r23,d3_r24,rt_a1_r1,rt_a1_r2,rt_a1_r3,rt_a1_r4,rt_a1_r5,rt_a1_r6,rt_a1_r7,rt_a1_r8,rt_a1_r9,rt_a1_r10,rt_a1_r11,rt_a1_r12,rt_a1_r13,rt_a1_r14,rt_a1_r15,rt_a1_r16,rt_a1_r17,rt_a1_r18,rt_a1_r19,rt_a1_r20,rt_a1_r21,rt_a1_r22,rt_a1_r23,rt_a1_r24,rt_a2_r1,rt_a2_r2,rt_a2_r3,rt_a2_r4,rt_a2_r5,rt_a2_r6,rt_a2_r7,rt_a2_r8,rt_a2_r9,rt_a2_r10,rt_a2_r11,rt_a2_r12,rt_a2_r13,rt_a2_r14,rt_a2_r15,rt_a2_r16,rt_a2_r17,rt_a2_r18,rt_a2_r19,rt_a2_r20,rt_a2_r21,rt_a2_r22,rt_a2_r23,rt_a2_r24,rt_a3_r1,rt_a3_r2,rt_a3_r3,rt_a3_r4,rt_a3_r5,rt_a3_r6,rt_a3_r7,rt_a3_r8,rt_a3_r9,rt_a3_r10,rt_a3_r11,rt_a3_r12,rt_a3_r13,rt_a3_r14,rt_a3_r15,rt_a3_r16,rt_a3_r17,rt_a3_r18,rt_a3_r19,rt_a3_r20,rt_a3_r21,rt_a3_r22,rt_a3_r23,rt_a3_r24,rt_d1_r1,rt_d1_r2,rt_d1_r3,rt_d1_r4,rt_d1_r5,rt_d1_r6,rt_d1_r7,rt_d1_r8,rt_d1_r9,rt_d1_r10,rt_d1_r11,rt_d1_r12,rt_d1_r13,rt_d1_r14,rt_d1_r15,rt_d1_r16,rt_d1_r17,rt_d1_r18,rt_d1_r19,rt_d1_r20,rt_d1_r21,rt_d1_r22,rt_d1_r23,rt_d1_r24,rt_d2_r1,rt_d2_r2,rt_d2_r3,rt_d2_r4,rt_d2_r5,rt_d2_r6,rt_d2_r7,rt_d2_r8,rt_d2_r9,rt_d2_r10,rt_d2_r11,rt_d2_r12,rt_d2_r13,rt_d2_r14,rt_d2_r15,rt_d2_r16,rt_d2_r17,rt_d2_r18,rt_d2_r19,rt_d2_r20,rt_d2_r21,rt_d2_r22,rt_d2_r23,rt_d2_r24,rt_d3_r1,rt_d3_r2,rt_d3_r3,rt_d3_r4,rt_d3_r5,rt_d3_r6,rt_d3_r7,rt_d3_r8,rt_d3_r9,rt_d3_r10,rt_d3_r11,rt_d3_r12,rt_d3_r13,rt_d3_r14,rt_d3_r15,rt_d3_r16,rt_d3_r17,rt_d3_r18,rt_d3_r19,rt_d3_r20,rt_d3_r21,rt_d3_r22,rt_d3_r23,rt_d3_r24
13,1,2,1,2,0,0,0,12,0,0,12,0,0,0,10,0,0,10,0,0,0,8,8,8,0,8,0,8,5,0,0,6,5,0,5,0,5,0,10,0,0,5,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,10,0,0,11,10,5,5,5,5,4,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,6,5,10,5,4,0,6,5,6,4,7,4,6,6,5,7,4,7,4,4,5,7,5,5,4,4,10,8,6,4,6,4,4,6,5,4,4,6,5,5,5,5,6,5,5,5,5,5,5,5,3403,3063,2648,6926,1536,8263,2685,2412,3703,2473,6430,2116,3062,2610,1127,2819,1568,2167,2528,1935,1067,2503,1998,1505,7664,1212,1918,790,3456,1485,889,3842,1118,1214,5016,4866,1895,996,2493,1368,1561,1483,4304,1185,2678,3496,5242,2411,2467,2135,2629,2850,3355,2684,7594,6052,6511,1852,3657,2261,2277,1880,2003,1898,3217,2566,2997,6952,5065,8143,2962,2306,7183,3567,1592,2939,1699,2799,3741,1308,2824,2351,2717,1485,2001,782,1494,712,891,810,3432,3119,2429,2144,1816,1190,2805,777,4864,1690,2518,900,1463,766,3225,819,3353,2668,817,4975,1482,1940,833,1432,1145,4995,1341,1188,877,1095,3015,2488,1761,1098,4867,1810,2952,2359,4668,3227,2882,2168,2309,1585,2142,2686,7179,1920,2519,1072,1597,989,6018,1349
14,1,3,1,1,1,1,1,1,0,13,0,0,1,11,9,0,0,10,0,0,9,0,0,10,0,10,0,9,10,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8,5,3,0,0,9,0,0,0,10,10,0,8,8,0,5,0,0,0,9,15,10,8,5,3,6,6,6,5,5,8,5,0,5,7,3,0,1,3,5,5,8,5,6,15,6,2,1,3,4,8,4,2,1,6,2,1,6,5,3,4,9,5,4,6,4,3,3,16,12,8,4,3,8,16,12,5,4,14,10,8,14,14,10,8,12,10,12,10,10,8,10,3478,2784,2478,1918,1724,2917,1590,3210,3865,2528,4063,1815,3637,4600,1752,4122,3418,6529,3778,3108,4242,1967,3019,1644,4009,3220,1171,1021,5346,3031,3992,2875,3591,2580,2293,2397,3175,2600,2495,2118,3058,2864,8804,3096,2481,2127,2605,3090,2318,1208,1835,918,1851,5520,7803,4359,1412,4645,2357,1657,3472,6042,4770,5662,3499,5929,1131,5637,997,6480,2070,2738,8209,2126,1216,1308,1446,1478,1466,1463,1438,1308,839,739,1057,933,1289,1208,964,1436,874,946,5400,2011,1067,877,6566,2431,1359,2001,975,942,879,1063,1319,1151,1195,1301,1239,1566,1156,2169,1095,1498,1119,1364,1133,1218,2246,1146,3349,861,864,744,678,714,969,857,712,817,945,1398,790,951,5059,1377,912,1078,1506,882,1724,1445,1134,1390
15,1,2,1,1,0,0,1,10,0,1,10,1,10,1,10,0,1,12,1,10,1,10,15,1,15,1,12,12,15,0,0,8,10,8,8,0,8,0,10,0,0,12,0,10,1,10,11,0,15,0,11,12,0,0,0,12,0,0,12,0,12,0,11,0,0,12,0,10,0,10,0,0,15,0,12,0,13,7,5,7,4,5,5,7,4,8,5,4,10,10,10,6,3,11,4,7,10,5,11,12,8,7,6,3,1,8,4,5,2,1,10,10,8,1,1,1,1,10,10,3,1,1,5,8,13,12,6,8,5,8,9,6,11,12,13,4,10,14,0,13,2,12,5,10,13,1,15,10,4169,2088,1051,1817,1434,4558,3035,7664,2289,1179,2364,2387,3737,2208,1600,2782,922,1977,5465,6198,2766,8254,6239,4257,2432,970,1331,1319,1322,5311,1387,1309,2511,1339,1317,3478,3100,3741,4059,3556,6573,4026,4051,6631,1200,3936,3597,5956,1998,1591,974,1327,722,802,2127,714,2265,1898,1189,1916,849,2667,2628,744,1947,869,2071,6144,1664,1551,1567,3340,3398,1895,2325,1589,787,774,1704,1801,1039,1159,2587,4359,3005,2913,8299,5638,3560,5712,3400,2162,4855,4095,5595,6115,2487,1047,2312,1716,943,1707,1344,3089,4357,3529,6267,2823,5216,2112,2102,1834,3588,5358,6099,9798,7497,2430,7771,3820,1978,1276,1420,890,1235,1426,3717,783,3369,1769,5535,4149,6991,1574,1199,4860,3789,4710,5332,6674,982,5025,1726,11267
17,1,3,1,2,19,0,5,4,19,18,19,18,18,0,2,17,15,10,6,15,18,6,1,18,19,0,1,20,13,0,3,0,11,14,15,14,15,0,0,14,13,0,0,13,16,0,1,14,16,0,0,14,10,0,0,0,5,10,10,10,15,0,0,10,15,0,0,10,16,0,0,10,15,0,0,15,15,14,15,10,5,10,14,10,13,15,10,5,20,16,10,15,10,13,10,15,15,14,5,5,12,14,12,10,0,10,16,14,14,16,0,2,10,12,0,2,16,14,0,10,16,14,0,2,20,19,18,0,5,15,11,17,20,20,15,10,20,20,20,20,20,20,10,10,20,19,17,15,2907,1456,3574,1964,2112,3002,4523,2700,3205,1306,2327,4678,3589,2507,2639,3171,2012,1388,4640,2111,2083,1524,2569,1511,1752,1164,3078,2308,1235,1133,1233,1328,1104,1188,1513,973,1163,1331,944,1051,1408,1179,1402,984,4791,1148,2185,1359,3521,1539,1516,2087,1761,3362,1848,1634,3984,1496,2595,1655,1982,1540,1675,3065,4783,1451,1653,3549,1587,1535,1622,1906,6596,3301,9446,6457,4885,12960,2969,4800,9506,6100,5208,10164,7464,6872,1809,3590,5841,11939,2755,6853,4279,11103,8240,9962,3050,1814,2142,2645,2221,2938,2847,2428,1886,3462,2367,2730,3076,2469,2866,2657,3078,9245,1745,2436,2873,2248,1979,2468,1752,1297,1521,1832,824,1611,12,1094,6748,1933,2109,1291,3909,2736,1323,1210,2500,1308,2237,8429,5749,1647,11795,3236
18,1,1,1,2,0,0,0,0,0,0,0,0,15,0,0,0,0,1,2,1,1,1,1,1,0,0,10,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,10,0,0,0,0,0,0,0,15,10,8,6,7,10,5,3,6,6,3,4,8,6,5,5,3,4,2,5,4,3,1,4,1,1,16,1,1,15,1,0,19,1,1,15,1,1,10,1,19,1,2,20,20,20,18,1,10,6,5,5,5,4,5,3,1,4,3,4,1,4,1,2,1,3,1,5,3,4,3,3,2625,3235,4455,3405,2983,3765,4292,3394,7194,3295,5975,4687,2822,10791,6111,5676,8311,8437,5999,5705,6283,7762,5314,4231,1445,1129,999,884,1400,1379,4181,1687,1290,2546,4924,1688,2069,1376,2278,2519,2741,2725,1396,1317,2036,1279,1458,1473,4265,3853,2164,2867,3295,2293,2394,3177,7682,4918,2406,3677,2136,1757,3721,2213,4371,2636,2692,3577,3006,2396,2623,2205,2137,2659,2419,2977,2426,3035,1611,2240,1752,7793,2246,5203,1512,2383,4672,1133,1722,11221,1498,1245,1398,2075,1297,1383,913,877,1499,1014,1189,1654,1000,909,1481,1347,803,2278,645,761,1685,1046,1484,767,1104,1579,1841,1477,1412,820,1446,775,1584,975,2619,907,794,887,854,1904,2013,1362,1602,1995,1012,2076,892,850,805,846,1814,2204,1905,2578
19,1,3,2,2,1,2,1,5,0,1,0,8,0,1,1,8,0,1,1,7,1,3,1,8,0,0,0,5,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,15,0,0,0,10,0,1,6,6,1,1,5,7,0,0,1,8,0,0,1,8,0,1,1,9,0,0,1,9,8,3,2,4,10,3,9,8,5,4,5,10,1,1,1,15,0,0,1,15,0,0,0,16,10,4,2,5,10,7,5,5,10,7,6,7,10,5,5,4,10,5,4,4,8,4,4,10,10,1,5,5,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,7,10,10,3,5,2280,684,734,861,1485,1011,1248,1351,2241,3766,927,1965,1279,3185,1075,1056,1357,1259,1196,1529,1508,1724,2193,1084,1185,765,863,807,849,1103,636,945,815,1082,969,982,705,918,756,1448,898,831,776,1145,679,658,873,1038,1264,1635,2030,3356,2986,2832,3689,8399,1303,1669,1740,1664,1175,1325,1395,1249,1825,1925,1998,2165,1418,1350,1366,1417,2147,1390,1699,1351,2709,4401,1095,1125,1850,5342,3093,1487,2447,3255,3925,2417,2539,2154,4122,2246,1836,2051,2554,1757,4412,3458,1750,4213,3595,8095,4892,2478,3604,5316,5619,2574,2729,1960,2500,2346,2123,2000,2222,3052,1763,3728,2134,3229,3118,1294,3927,2060,2544,4329,2759,2584,2946,2603,2892,1576,3041,2997,3060,5382,3786,2883,3809,5310,5684,3587,1372,4148
21,0,3,3,2,10,1,1,11,0,1,11,0,0,11,0,11,0,18,0,11,0,11,0,11,0,11,0,11,5,2,5,5,5,2,5,0,1,0,0,0,1,5,0,5,0,5,0,5,5,5,0,5,2,7,7,7,8,7,7,2,7,7,8,7,7,7,7,7,7,7,0,0,7,7,6,6,8,6,5,5,10,8,10,0,8,5,0,13,10,10,0,5,0,15,0,5,0,0,2,10,10,7,4,4,9,5,4,8,4,4,7,5,6,5,9,3,6,1,6,4,5,3,5,3,3,6,6,5,9,6,7,7,6,5,4,4,8,6,4,5,9,5,8,7,6,5,8,3,4450,1283,1206,1820,2442,4377,1344,2171,3498,2866,4200,10338,2235,7207,2591,3437,3498,2475,1272,2713,3928,2390,1366,2069,2292,1552,4085,2271,2485,2143,4237,3799,7092,2239,2847,3389,1817,1959,3763,2003,2426,2878,1814,3058,5246,4819,2294,2055,6020,1825,1696,1604,4246,2628,7685,4003,4433,1547,2418,2955,3966,2941,4286,1100,3369,5031,4757,4121,3406,4341,2253,1973,1005,963,1292,866,2697,1454,1725,1525,1272,1247,2112,2263,1445,6138,1417,3851,1933,1581,2271,857,4409,1416,5002,1568,8174,968,973,1183,876,1085,922,1190,976,3008,1013,1117,1952,1644,5124,2688,2283,4966,2493,6896,4939,3219,804,1015,1669,3223,1178,3902,6891,5699,6704,3652,6049,2293,7430,6713,6369,1622,3844,4586,5616,5716,8060,6848,3503,2241,1661,1448
22,0,1,3,2,8,13,12,12,1,1,1,1,12,15,1,1,1,16,1,4,1,12,1,1,1,1,1,1,13,14,10,2,2,1,1,13,13,1,1,1,13,15,1,1,14,14,1,1,14,1,1,13,15,1,1,1,1,1,12,10,12,1,1,1,12,1,1,1,12,1,1,12,12,1,1,9,14,14,13,12,10,9,7,7,12,14,12,10,8,13,12,10,10,13,12,12,10,10,9,8,15,13,14,13,12,11,10,7,10,12,12,7,9,12,13,7,9,12,12,7,12,12,7,7,13,14,13,12,12,10,3,7,12,12,10,10,10,12,13,10,10,11,10,6,13,10,9,8,4956,5659,5757,5416,2719,2991,2987,3641,6250,6296,3518,3329,3315,4884,3527,6458,7118,2946,3018,3138,3253,4158,2837,3376,3874,2451,3050,2215,1152,939,3614,1349,1914,1287,1718,798,1185,1613,757,1424,1621,1536,1523,1627,1308,1420,1331,1976,7067,1298,3005,2226,1703,1489,3503,1646,1945,998,1685,2033,4196,1753,1951,1566,1120,1484,1710,6569,1445,1425,3024,1427,5364,2240,4145,4481,6814,6636,4747,6827,2306,3245,4276,7595,2780,2075,2114,7336,1811,3383,3593,2607,2704,2870,4433,2000,3221,1242,1267,3528,1158,1664,2142,1538,2280,1010,2613,2504,2398,3463,4256,1420,3371,1642,2339,1866,1552,2200,2685,2032,5776,3644,2338,1891,6194,1443,3646,2230,924,2350,4603,4342,3983,2200,12,2810,2583,4486,3001,3184,3383,2695,1983,2703
34,1,3,3,2,5,0,3,0,0,10,0,0,0,5,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,12,10,0,0,0,0,12,14,0,0,1,12,10,0,0,15,0,0,11,13,0,0,0,0,1,10,0,0,0,0,1,20,0,0,0,1,20,0,0,0,0,0,10,15,13,9,8,7,6,6,13,10,9,9,8,9,8,8,9,9,9,9,8,7,8,5,10,8,15,10,9,5,5,8,12,10,8,5,10,8,10,8,5,5,9,10,5,3,10,0,5,10,15,14,12,10,10,15,16,8,2,5,15,15,10,2,3,15,12,5,0,18,0,0,15,17,4344,3921,11420,2113,3308,2331,3556,3328,2487,2395,1831,2185,4733,2811,6505,3870,2506,1885,2119,6365,1946,1437,2963,2703,2214,2729,2731,5577,3045,3893,2583,2084,1939,3530,3028,3065,2239,3002,5019,6020,9218,1734,6637,5042,2157,2802,2980,5319,2187,2257,3101,2684,2134,2715,2836,2175,2720,3327,2091,3318,3808,3283,3162,5627,3750,3399,2616,5368,3279,2682,3159,2596,7956,1633,3290,2572,2271,2741,4923,4352,2333,2612,1210,6030,7684,3588,2394,3611,6920,7463,2690,3340,7401,2439,2767,6231,4458,1013,715,709,769,826,1517,1040,864,835,930,699,1052,820,1111,916,750,1273,988,708,1073,893,796,1709,2172,2107,5830,4210,6186,5468,3752,5593,4171,5168,5005,4484,5298,3606,6980,8130,6382,5928,3978,6266,3899,3498,5295,4476
35,1,2,3,1,12,1,12,1,12,1,14,1,14,1,14,1,12,1,13,1,12,1,12,1,12,1,12,1,13,2,13,1,12,2,13,1,13,1,1,14,13,5,13,2,13,1,13,1,13,1,13,1,15,1,15,1,13,14,14,1,15,13,1,1,14,13,6,10,14,1,13,1,1,1,15,1,15,10,10,2,15,2,15,5,15,1,15,5,12,1,12,5,12,1,12,12,12,1,12,1,14,10,10,15,9,8,15,4,15,5,3,15,5,10,5,16,9,6,6,15,10,10,13,2,15,15,9,10,15,14,10,13,16,8,14,6,17,17,15,1,15,16,14,14,16,5,12,0,2269,984,1963,681,1398,962,1848,843,2386,1433,1906,1227,1855,1784,2452,1647,2290,845,3040,2919,2588,1781,2894,1712,3138,5483,7555,6203,5015,6493,3388,3217,4827,3931,8256,4029,2752,4969,4589,5786,3068,2905,4301,3759,4252,4257,3388,4148,4961,4543,6787,5684,4474,9435,10368,1328,2206,6859,2506,1711,3046,7286,6229,7363,2996,1245,6200,1823,1235,6651,3312,1536,1656,907,819,1082,876,683,948,710,1369,720,914,700,765,639,957,830,847,729,1773,680,2218,2379,1669,570,1452,4736,3825,904,861,1395,891,2091,2260,848,1484,948,1853,2853,845,1101,2444,1495,2766,3058,1383,1503,2118,2060,2156,3158,2039,7183,4638,1667,1095,1553,4994,5034,7847,4652,1321,6063,6229,8137,4157,6146,12,6147,1917,2621,3851,1387
36,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,14,7,6,6,5,7,4,6,8,3,3,7,6,6,9,6,14,12,14,2,16,0,13,14,13,7,5,6,6,6,6,7,4,5,9,8,7,6,5,7,6,4,6,0,13,0,0,0,3335,2142,2460,2690,1912,2059,1933,1672,2134,2112,2180,2358,1935,2064,2922,2605,2742,1963,2757,3158,1968,2266,2256,1960,686,896,731,754,1627,714,810,784,2718,696,954,1294,881,752,5795,3396,741,999,807,1008,686,1142,741,1283,1058,1039,1075,1514,1338,1292,727,1350,1392,2598,2479,1417,1283,1853,1908,2048,1637,1268,2937,1966,973,1018,1580,1856,2101,2398,1499,2043,1215,1559,1192,1275,1143,1235,1179,952,1046,1018,1596,1213,924,1190,1302,1292,1214,1480,1117,1253,4634,3428,5676,2333,1585,1222,1250,1325,2789,3402,2908,1248,5091,5661,3538,3690,1798,5613,3837,1940,6929,3438,2448,5964,6306,862,5185,2448,6404,2734,5351,7223,8969,2286,5536,2759,4233,1371,1447,6798,816,1415,2772,953,1665,949,4741,6594
37,0,1,2,1,0,0,0,10,0,0,0,0,10,0,0,1,0,0,10,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,1,10,0,0,7,0,10,0,15,0,10,12,5,0,0,8,0,12,12,5,0,0,0,5,3,2,0,5,3,4,5,10,0,3,4,9,8,5,4,5,3,5,4,8,8,0,0,0,1,5,5,0,1,1,9,1,2,2,8,10,5,8,5,5,10,10,10,0,5,0,0,10,0,3,3,1,2,3,3,2,1,5,1,7238,2626,1390,1993,1596,2564,1914,1416,2367,2137,2359,4963,2562,2679,2648,2727,1583,1809,2466,3498,1912,1480,1531,2620,2761,1262,3863,2131,1352,1984,1556,1198,1637,869,1418,1714,1002,1117,1293,3921,913,1163,1070,5082,5618,1113,2245,906,5526,2059,1265,1406,1277,1079,3023,8873,1107,2826,2626,2877,1213,1578,1559,1204,1165,1661,2399,1280,5772,8530,3746,3004,2205,1469,4062,1897,1261,1327,2678,1910,2557,1769,1954,2049,2246,1620,3528,3097,1974,2723,2708,4422,3544,2391,6251,3714,1818,1400,1429,1280,863,981,851,945,976,1865,1027,1005,1086,1049,971,952,998,1788,906,1527,1287,1030,976,892,9446,12177,9193,6042,4135,3293,8694,3468,6616,4139,3659,6300,6488,3148,3130,3367,3389,3474,4769,3448,3573,3154,5582,4761
38,1,3,1,2,0,0,0,9,0,0,0,10,10,10,0,0,10,12,10,0,10,0,10,0,9,13,0,10,0,0,8,8,0,0,0,8,0,8,0,0,8,0,9,0,9,0,0,8,8,0,9,0,0,0,0,8,0,0,0,0,0,10,0,8,7,0,8,0,8,0,0,0,9,0,9,9,9,7,6,6,7,7,6,7,6,5,7,6,5,7,6,6,9,8,8,7,7,7,6,7,7,8,5,7,8,6,6,10,5,7,9,4,8,5,8,9,6,10,10,10,10,7,8,7,8,7,8,10,10,9,12,8,12,8,6,10,12,10,8,8,9,10,10,8,11,12,9,12,1388,1521,1060,1013,1857,962,848,2659,1085,901,894,863,976,1649,2382,998,1378,779,2745,875,780,2549,842,2287,2329,2149,2239,1743,2338,1914,1587,1916,2021,2587,2219,2498,2717,2529,1492,4168,1377,2559,2151,2037,2843,2150,2216,1595,1801,1208,1109,2249,2338,1281,871,1067,1325,3422,1128,843,2434,951,1028,1378,893,1102,1197,1099,1259,2796,1087,978,3111,958,1078,938,909,2239,749,1265,1077,1033,801,836,1191,968,1634,1180,4541,891,813,952,2391,1055,1239,1308,3268,5856,3780,3983,4126,3189,2766,1968,1115,1253,3709,4823,2917,4004,1566,9851,1254,2165,2906,2436,2618,4133,4223,3458,733,1057,1195,938,1043,935,1097,855,1279,983,1347,1186,1035,956,944,1238,979,1217,1444,1414,1123,1098,1139,1286
39,0,3,3,2,9,10,13,7,1,3,2,7,8,11,3,13,1,1,12,13,8,3,2,13,12,11,1,1,10,10,4,10,5,2,5,5,10,11,2,3,2,8,7,10,1,3,2,10,11,1,2,8,14,14,14,5,6,12,12,12,13,12,14,1,11,11,11,12,2,2,12,12,13,1,1,12,10,12,13,11,10,8,8,8,9,12,13,10,8,6,8,12,13,8,8,6,13,13,8,6,10,13,12,10,9,6,9,6,8,13,12,8,7,6,8,15,12,7,5,7,10,15,4,2,9,12,12,11,9,8,9,9,9,11,12,7,8,8,9,12,12,7,7,9,12,12,7,7,3487,2287,2372,5414,2515,2479,3630,2275,9011,7320,4950,4146,1898,3115,2343,7518,3681,7164,2781,3249,5365,10146,1515,1920,2358,5495,4247,5228,1995,3408,2726,3103,2379,3637,3321,3493,4199,1968,2219,3883,2469,4489,2642,3091,4355,4112,5864,4493,3650,2761,2623,1987,1366,1957,1618,1734,2590,4633,2262,2678,1360,2854,2380,5522,1521,3100,1503,1481,1629,2221,3282,2507,4051,1310,1862,1352,2700,1867,1719,1538,1471,1740,1434,1548,1336,2210,2003,1836,1653,1309,1519,1408,1777,3807,1416,1395,1903,1735,1636,1907,1748,6095,1911,3098,3008,2539,1877,4062,2458,2008,2281,8273,1805,6814,3923,1968,4841,3126,2997,5733,3782,1430,1485,1301,1675,1166,1909,883,776,1154,1390,2590,1003,3126,885,2220,2717,2310,2286,3212,1281,2817,3083,2158
40,0,2,2,1,0,0,13,0,0,14,0,14,14,0,14,0,17,0,13,0,14,16,16,0,0,5,3,0,0,14,10,0,0,13,0,10,12,0,10,5,10,0,10,0,10,0,0,10,10,11,0,0,10,8,6,14,0,8,8,10,1,12,8,12,0,3,10,0,10,0,16,0,10,12,13,8,10,11,12,11,10,10,10,10,10,10,10,10,5,10,8,10,7,7,10,10,10,10,10,10,8,7,15,15,7,5,8,5,13,6,7,11,8,10,12,5,1,10,10,13,6,12,12,8,10,8,10,10,8,10,5,5,10,10,5,6,7,10,10,10,5,5,6,10,6,8,10,7,3146,801,6305,1708,6879,1675,2120,1391,8329,1182,1747,2956,3093,6204,3332,2186,3845,3284,3906,2287,2425,5550,6268,3167,2785,1975,3572,1769,1678,1851,2423,989,1681,767,1466,1541,1818,2685,4337,2413,4680,1310,6684,1692,2734,6343,1587,5744,6378,3599,9333,5121,1854,4119,7060,9266,2870,9008,3126,3881,3882,12,2514,5370,5648,5309,6398,4951,12027,3517,2865,5897,5154,3202,2765,2520,2500,2809,2604,4000,3267,2221,4007,3112,1995,2379,4956,4528,2346,4521,5657,4082,4040,2648,2482,2550,12549,10458,8377,3550,1898,3985,11295,9051,5382,6603,4862,2593,7143,5288,3125,7400,12083,12,7553,2471,2120,3084,10893,3134,9751,4047,3152,3183,2302,1754,2390,2539,1795,2335,3501,3696,3173,7688,2130,2801,1338,2961,1611,3523,2951,2092,2411,2185
46,0,3,2,2,0,0,7,0,0,8,0,0,7,0,0,6,0,0,8,0,0,6,0,0,9,0,0,7,0,0,6,0,0,9,0,0,9,0,0,5,0,0,8,0,0,6,0,0,11,9,0,6,0,1,0,5,5,0,0,0,5,0,0,7,0,0,6,0,0,5,0,0,7,0,0,10,3,4,2,5,4,3,4,4,2,5,5,4,4,5,6,4,2,5,5,0,8,0,0,10,5,2,3,3,4,5,7,3,2,6,2,4,8,2,7,7,1,6,7,2,5,7,6,5,6,4,4,6,6,6,8,4,8,0,6,8,0,7,0,0,0,10,0,0,12,0,0,14,4199,2466,2334,2638,3452,2034,2029,1926,4135,3385,2817,3311,3575,2045,2670,1588,1539,2410,1902,2248,1899,2759,6487,2323,3188,1591,7056,1872,1788,4447,1906,1749,2017,1834,2696,5429,1716,1986,2658,1790,2780,3776,3070,2596,2304,3328,1356,8756,2217,1288,1945,1280,2867,1548,1750,1840,1356,1374,1702,2811,2197,1946,1906,1866,2258,2289,2487,4771,2016,2950,3450,2266,8351,4059,3605,3878,3431,7181,3887,3776,9445,8096,4431,8377,7573,4601,5317,7513,4927,5494,8041,5945,6640,5631,4605,11974,2146,2311,2432,2177,2285,2176,2467,2215,2619,1822,1658,2232,2157,2279,1969,2564,2078,1928,1983,2217,2453,2455,6390,3309,1565,1304,868,881,920,858,2323,1092,799,5976,942,2173,1295,5446,2999,1533,1079,1205,1262,1313,3756,1302,1236,1858
