num,type,d_le,a_le,gender,d1_r1,d2_r1,d3_r1,rt_d1_r1,rt_d2_r1,rt_d3_r1,d1_r2,d2_r2,d3_r2,rt_d1_r2,rt_d2_r2,rt_d3_r2,d1_r3,d2_r3,d3_r3,rt_d1_r3,rt_d2_r3,rt_d3_r3,d1_r4,d2_r4,d3_r4,rt_d1_r4,rt_d2_r4,rt_d3_r4,d1_r5,d2_r5,d3_r5,rt_d1_r5,rt_d2_r5,rt_d3_r5,d1_r6,d2_r6,d3_r6,rt_d1_r6,rt_d2_r6,rt_d3_r6,d1_r7,d2_r7,d3_r7,rt_d1_r7,rt_d2_r7,rt_d3_r7,d1_r8,d2_r8,d3_r8,rt_d1_r8,rt_d2_r8,rt_d3_r8,d1_r9,d2_r9,d3_r9,rt_d1_r9,rt_d2_r9,rt_d3_r9,d1_r10,d2_r10,d3_r10,rt_d1_r10,rt_d2_r10,rt_d3_r10,d1_r11,d2_r11,d3_r11,rt_d1_r11,rt_d2_r11,rt_d3_r11,d1_r12,d2_r12,d3_r12,rt_d1_r12,rt_d2_r12,rt_d3_r12,d1_r13,d2_r13,d3_r13,rt_d1_r13,rt_d2_r13,rt_d3_r13,d1_r14,d2_r14,d3_r14,rt_d1_r14,rt_d2_r14,rt_d3_r14,d1_r15,d2_r15,d3_r15,rt_d1_r15,rt_d2_r15,rt_d3_r15,d1_r16,d2_r16,d3_r16,rt_d1_r16,rt_d2_r16,rt_d3_r16,d1_r17,d2_r17,d3_r17,rt_d1_r17,rt_d2_r17,rt_d3_r17,d1_r18,d2_r18,d3_r18,rt_d1_r18,rt_d2_r18,rt_d3_r18,d1_r19,d2_r19,d3_r19,rt_d1_r19,rt_d2_r19,rt_d3_r19,d1_r20,d2_r20,d3_r20,rt_d1_r20,rt_d2_r20,rt_d3_r20,d1_r21,d2_r21,d3_r21,rt_d1_r21,rt_d2_r21,rt_d3_r21,d1_r22,d2_r22,d3_r22,rt_d1_r22,rt_d2_r22,rt_d3_r22,d1_r23,d2_r23,d3_r23,rt_d1_r23,rt_d2_r23,rt_d3_r23,d1_r24,d2_r24,d3_r24,rt_d1_r24,rt_d2_r24,rt_d3_r24
38,1,3,1,2,9,7,8,3111,3268,733,7,8,7,958,5856,1057,6,5,8,1078,3780,1195,6,7,10,938,3983,938,7,8,10,909,4126,1043,7,6,9,2239,3189,935,6,6,12,749,2766,1097,7,10,8,1265,1968,855,6,5,12,1077,1115,1279,5,7,8,1033,1253,983,7,9,6,801,3709,1347,6,4,10,836,4823,1186,5,8,12,1191,2917,1035,7,5,10,968,4004,956,6,8,8,1634,1566,944,6,9,8,1180,9851,1238,9,6,9,4541,1254,979,8,10,10,891,2165,1217,8,10,10,813,2906,1444,7,10,8,952,2436,1414,7,10,11,2391,2618,1123,7,7,12,1055,4133,1098,6,8,9,1239,4223,1139,7,7,12,1308,3458,1286
39,0,3,3,2,10,10,9,4051,1903,3782,12,13,12,1310,1735,1430,13,12,12,1862,1636,1485,11,10,11,1352,1907,1301,10,9,9,2700,1748,1675,8,6,8,1867,6095,1166,8,9,9,1719,1911,1909,8,6,9,1538,3098,883,9,8,9,1471,3008,776,12,13,11,1740,2539,1154,13,12,12,1434,1877,1390,10,8,7,1548,4062,2590,8,7,8,1336,2458,1003,6,6,8,2210,2008,3126,8,8,9,2003,2281,885,12,15,12,1836,8273,2220,13,12,12,1653,1805,2717,8,7,7,1309,6814,2310,8,5,7,1519,3923,2286,6,7,9,1408,1968,3212,13,10,12,1777,4841,1281,13,15,12,3807,3126,2817,8,4,7,1416,2997,3083,6,2,7,1395,5733,2158
40,0,2,2,1,10,8,10,5154,12549,9751,11,7,8,3202,10458,4047,12,15,10,2765,8377,3152,11,15,10,2520,3550,3183,10,7,8,2500,1898,2302,10,5,10,2809,3985,1754,10,8,5,2604,11295,2390,10,5,5,4000,9051,2539,10,13,10,3267,5382,1795,10,6,10,2221,6603,2335,10,7,5,4007,4862,3501,10,11,6,3112,2593,3696,5,8,7,1995,7143,3173,10,10,10,2379,5288,7688,8,12,10,4956,3125,2130,10,5,10,4528,7400,2801,7,1,5,2346,12083,1338,7,10,5,4521,12,2961,10,10,6,5657,7553,1611,10,13,10,4082,2471,3523,10,6,6,4040,2120,2951,10,12,8,2648,3084,2092,10,12,10,2482,10893,2411,10,8,7,2550,3134,2185
46,0,3,2,2,3,5,6,8351,2146,1565,4,2,4,4059,2311,1304,2,3,4,3605,2432,868,5,3,6,3878,2177,881,4,4,6,3431,2285,920,3,5,6,7181,2176,858,4,7,8,3887,2467,2323,4,3,4,3776,2215,1092,2,2,8,9445,2619,799,5,6,0,8096,1822,5976,5,2,6,4431,1658,942,4,4,8,8377,2232,2173,4,8,0,7573,2157,1295,5,2,7,4601,2279,5446,6,7,0,5317,1969,2999,4,7,0,7513,2564,1533,2,1,0,4927,2078,1079,5,6,10,5494,1928,1205,5,7,0,8041,1983,1262,0,2,0,5945,2217,1313,8,5,12,6640,2453,3756,0,7,0,5631,2455,1302,0,6,0,4605,6390,1236,10,5,14,11974,3309,1858
48,0,2,2,2,5,13,4,5530,5495,5979,8,2,0,2697,1905,2233,1,0,7,827,2078,1164,1,0,3,1603,2015,1223,10,1,5,1029,2147,1589,1,1,2,923,2790,2469,4,0,5,817,1635,1073,0,1,2,1414,2143,3153,7,0,4,786,2658,1679,2,0,0,1594,2716,3005,0,0,6,1706,1626,1476,6,0,5,2329,2119,2477,0,0,0,904,2883,2148,5,0,8,3999,1953,1417,0,0,4,919,1774,2831,0,0,5,837,2185,1765,0,0,0,953,2588,3267,0,0,8,902,4236,2431,0,0,5,3149,2211,1914,10,0,0,4064,2287,2434,0,0,0,860,2565,1893,1,0,0,852,3095,3196,0,0,0,833,2731,2121,0,0,6,1685,2869,1503
49,0,3,1,2,6,11,5,2164,8588,2720,5,4,10,2761,4606,1527,6,2,4,1568,2637,2339,3,7,3,1281,8574,3147,6,3,6,1560,3043,1567,6,5,6,1848,2726,2053,6,9,5,1735,2244,5161,6,4,7,2001,7403,1540,6,4,4,2723,1477,3039,6,8,3,5280,4181,1430,6,4,10,2992,3763,1874,6,5,5,3393,2096,1582,5,9,3,1923,2093,3683,5,4,7,1779,1705,1699,5,4,4,1671,3657,2245,7,5,5,1337,3740,2099,7,8,8,10612,2551,1245,7,5,2,2163,3854,1853,6,7,3,1821,8474,1779,6,5,9,1491,2987,1247,6,5,3,2519,2064,2010,6,9,3,1369,4511,1352,6,3,6,1461,3023,1681,6,5,8,1425,2317,3114
50,1,2,2,2,5,20,5,5250,2631,6984,0,0,10,8991,2219,9062,20,5,20,3441,2929,4249,0,20,1,2208,2583,1140,5,0,20,1734,1629,1752,20,1,0,2415,1849,1947,0,20,5,1758,4079,2563,5,0,20,2082,2054,1807,20,1,6,2419,922,1969,0,20,6,1557,1855,7474,8,0,20,2077,1678,7582,20,1,0,2665,1657,4073,0,20,7,1559,2121,1147,8,0,20,1647,1747,5231,20,1,0,2278,6200,1949,0,20,3,1859,1913,1764,5,0,20,1364,1789,1808,20,1,0,2535,2189,1639,0,20,10,1739,3929,1766,5,0,20,2410,2259,2108,20,1,10,2904,1324,3041,0,20,0,2193,2830,4789,5,0,20,3925,2429,1866,20,1,4,2355,1670,6795
51,0,2,3,1,10,11,10,3458,4339,2589,11,7,11,1738,2830,1706,7,5,7,1231,2231,1872,5,5,5,1855,1431,3435,5,7,5,2587,1500,1546,7,8,7,3715,2094,1466,8,9,8,2113,2801,1367,9,10,9,2227,1785,1256,10,10,10,2764,1863,3132,10,6,10,2311,1740,2957,6,8,6,1878,2136,2436,8,8,8,2145,2558,3034,8,10,8,2088,2871,3003,10,10,10,1814,3912,2974,10,10,10,2588,1818,3418,10,10,10,2513,3620,2866,10,10,10,2723,4087,4451,10,6,10,3758,1615,3183,6,6,6,1903,3009,1626,6,9,6,2163,1750,2569,9,13,9,1156,5671,3426,13,6,13,2748,1061,2864,6,6,6,1778,1401,2682,6,4,6,1464,2639,2629
52,1,1,3,2,11,10,10,3488,3345,6289,9,8,10,1902,2709,2054,8,7,8,7099,1843,1420,7,5,6,1548,1095,1830,6,4,5,1479,2036,1403,5,3,4,1649,1717,2652,10,7,8,3856,1311,4155,11,10,9,1550,4385,3178,10,8,9,3302,1377,2479,10,6,8,4682,1626,2434,10,5,6,4008,4473,3185,6,7,6,8022,2676,2041,10,8,8,1495,1562,2286,10,9,9,9811,1555,2011,9,7,6,8126,2392,2587,8,5,5,3023,1911,2329,10,6,8,1227,2200,2012,9,10,10,8994,1954,2283,10,7,5,1047,1485,2033,10,6,5,10137,1740,1987,10,9,8,6761,1308,1833,10,7,8,4108,960,1875,10,6,6,2003,1135,2565,10,7,8,2292,1101,3781
53,0,3,2,1,10,5,15,5143,6525,6987,3,10,10,1188,2937,2677,9,5,15,1400,3320,3424,13,5,20,2142,6836,2583,5,6,0,2758,2256,1879,5,5,10,1426,7495,2253,5,3,0,4930,5519,2381,5,6,0,5061,4663,1934,10,6,0,3301,5525,1182,11,5,10,4658,5142,1251,0,5,10,2630,4277,3015,10,5,10,4528,4831,2446,10,6,10,2459,2344,1454,5,4,10,1464,7349,1537,5,5,10,838,3644,1436,5,6,10,858,5631,2247,10,6,10,2147,4096,1540,10,10,10,6220,3050,1929,2,6,10,872,3567,1540,8,5,10,836,2102,2458,5,6,10,3965,2459,2047,10,6,10,1591,2801,1693,10,6,10,5428,3424,1753,10,3,15,1510,2660,2739
