num,type,d_le,a_le,gender,a1_r1,a2_r1,a3_r1,rt_a1_r1,rt_a2_r1,rt_a3_r1,a1_r2,a2_r2,a3_r2,rt_a1_r2,rt_a2_r2,rt_a3_r2,a1_r3,a2_r3,a3_r3,rt_a1_r3,rt_a2_r3,rt_a3_r3,a1_r4,a2_r4,a3_r4,rt_a1_r4,rt_a2_r4,rt_a3_r4,a1_r5,a2_r5,a3_r5,rt_a1_r5,rt_a2_r5,rt_a3_r5,a1_r6,a2_r6,a3_r6,rt_a1_r6,rt_a2_r6,rt_a3_r6,a1_r7,a2_r7,a3_r7,rt_a1_r7,rt_a2_r7,rt_a3_r7,a1_r8,a2_r8,a3_r8,rt_a1_r8,rt_a2_r8,rt_a3_r8,a1_r9,a2_r9,a3_r9,rt_a1_r9,rt_a2_r9,rt_a3_r9,a1_r10,a2_r10,a3_r10,rt_a1_r10,rt_a2_r10,rt_a3_r10,a1_r11,a2_r11,a3_r11,rt_a1_r11,rt_a2_r11,rt_a3_r11,a1_r12,a2_r12,a3_r12,rt_a1_r12,rt_a2_r12,rt_a3_r12,a1_r13,a2_r13,a3_r13,rt_a1_r13,rt_a2_r13,rt_a3_r13,a1_r14,a2_r14,a3_r14,rt_a1_r14,rt_a2_r14,rt_a3_r14,a1_r15,a2_r15,a3_r15,rt_a1_r15,rt_a2_r15,rt_a3_r15,a1_r16,a2_r16,a3_r16,rt_a1_r16,rt_a2_r16,rt_a3_r16,a1_r17,a2_r17,a3_r17,rt_a1_r17,rt_a2_r17,rt_a3_r17,a1_r18,a2_r18,a3_r18,rt_a1_r18,rt_a2_r18,rt_a3_r18,a1_r19,a2_r19,a3_r19,rt_a1_r19,rt_a2_r19,rt_a3_r19,a1_r20,a2_r20,a3_r20,rt_a1_r20,rt_a2_r20,rt_a3_r20,a1_r21,a2_r21,a3_r21,rt_a1_r21,rt_a2_r21,rt_a3_r21,a1_r22,a2_r22,a3_r22,rt_a1_r22,rt_a2_r22,rt_a3_r22,a1_r23,a2_r23,a3_r23,rt_a1_r23,rt_a2_r23,rt_a3_r23,a1_r24,a2_r24,a3_r24,rt_a1_r24,rt_a2_r24,rt_a3_r24
30,0,1,,2,,7,7,4619,5888,3724,9,9,8,2451,5903,1597,9,9,8,3438,2578,1442,14,15,10,8123,2841,3165,10,9,10,4148,1689,2744,13,10,11,4390,4184,1387,10,15,10,10380,2445,5209,1,9,12,8520,3210,3111,12,9,0,5265,2569,1090,13,9,8,5788,2450,8235,12,9,10,7720,2440,2176,13,9,11,9492,1790,2312,15,12,12,7775,2654,2471,13,13,12,9976,5466,1917,14,13,12,12535,4689,4578,1,6,0,7085,2305,5501,0,5,1,4398,1579,2374,16,3,0,9527,3069,2531,13,3,10,7663,5010,2620,12,9,9,10311,3521,4556,14,12,11,9149,8579,2946,0,9,12,8303,10140,2150,2,5,0,10271,9264,4986,0,3,0,5202,2561,2476
28,0,1,,1,,0,0,3119,4513,1032,0,0,0,1252,2201,1025,0,0,0,1172,4794,1032,11,15,15,2308,4014,1521,0,0,0,1169,5160,1017,0,0,0,1289,2120,1191,0,0,0,1056,5670,1079,14,12,15,4595,9462,2383,0,0,0,2119,3248,1022,0,0,0,2251,2562,1008,0,13,5,1413,3157,1576,15,0,15,1933,3052,1087,0,0,0,975,1727,899,0,0,0,1145,3277,1024,0,0,0,4568,9154,867,15,10,15,2035,3509,1076,0,0,0,1159,2599,960,0,0,6,1468,12722,2678,0,0,0,1032,10516,884,12,12,15,1961,3341,1068,0,0,0,1209,3957,1385,0,5,0,3595,2436,930,0,0,0,1692,2494,941,13,10,15,1244,3276,1438
29,1,1,,2,,0,0,1585,3927,2788,0,0,0,2300,1936,6329,0,0,10,3222,1090,5433,3,0,0,1129,1181,1329,0,0,0,2029,1713,2089,5,5,10,3213,2128,5894,0,0,0,1304,1108,1532,0,0,10,1269,1342,8087,0,0,0,1022,1192,1345,0,7,0,1156,2526,2085,5,0,10,1869,1222,3381,0,0,0,1569,897,1250,0,0,0,1484,2007,2202,0,0,0,1647,1214,4221,0,7,0,2114,4314,1767,0,0,0,2743,1321,2604,0,20,0,2552,1663,1901,3,0,0,3556,1008,2487,0,0,0,2209,1020,4873,0,10,10,991,1035,2584,0,0,0,2960,906,1375,0,0,0,998,1550,2371,3,0,0,2009,947,1984,0,0,0,2688,1974,3143
72,1,,,1,0,0,10,2656,4684,10381,10,0,10,4797,2331,12589,10,11,0,5505,1153,1644,15,0,0,12326,3681,1284,10,0,15,8754,1726,1880,10,10,0,7284,995,2361,0,0,0,2830,6235,2090,15,0,0,4529,11092,6131,15,10,0,4273,3613,1439,0,0,0,4791,1804,2643,0,10,0,2476,1484,7343,0,0,0,3982,9879,5520,15,0,15,2810,803,1856,0,0,0,2209,2602,5814,0,5,0,8134,12,3276,0,0,15,3091,6593,1920,15,10,0,3690,5888,3601,0,0,0,3868,1028,2432,15,10,15,3305,6592,3326,0,0,0,1686,802,2825,10,0,0,1883,2599,4393,10,0,15,5951,2303,4265,0,0,20,2361,10756,6279,15,0,0,5427,1061,937
75,1,,,1,0,0,0,2456,6611,4284,0,0,11,5757,3731,8980,11,17,11,1700,4445,12776,11,0,0,1607,9863,6151,15,0,0,6920,6548,8760,2,17,12,12175,4161,6360,0,0,0,4686,3980,3303,15,11,0,5821,4556,3153,15,0,14,5502,3955,7188,15,0,0,2128,6410,3284,15,20,0,5702,11436,3125,0,17,4,4036,5434,12,15,17,0,3565,1401,2350,15,0,0,5808,2371,2751,0,11,0,6252,7543,6742,0,15,13,2298,9158,4992,15,15,0,5257,3438,10329,0,0,13,8732,5345,4738,20,0,0,4963,4851,2299,0,0,5,4144,2064,4033,10,15,0,6188,2739,2128,0,0,0,6862,4113,5721,0,15,0,4608,8728,3112,0,0,12,1431,2371,4579
74,0,,,2,5,0,0,8605,3946,897,1,0,0,7193,3328,3254,0,10,12,7845,4554,2023,3,0,0,8283,4847,1278,0,13,9,2690,7018,2502,5,10,9,12087,11007,2508,10,10,8,3607,6759,2603,10,0,15,6134,3178,5798,0,0,0,1071,6346,1817,10,0,0,12862,3508,1816,0,10,0,5155,9308,5136,9,0,10,10177,9150,4136,9,0,10,4019,4140,6198,0,0,0,4357,11125,1785,10,13,9,4745,8637,2770,9,0,0,2313,3803,2756,0,0,0,1661,5282,2343,0,0,0,3057,1878,3679,10,10,8,3199,9095,3317,0,0,14,1792,7155,5110,0,14,0,7815,10975,1885,10,12,12,2954,5647,3071,0,0,0,2376,5195,2729,0,0,0,3165,2033,2946
45,0,,,1,3,16,13,4157,6079,4923,3,6,13,1582,1824,7431,15,20,3,3619,5418,3578,16,18,4,1342,3690,5158,3,19,16,791,5857,4334,3,3,4,1661,3518,1139,3,6,14,1603,4236,4234,16,18,15,5329,7435,2945,16,19,14,1988,7267,6441,3,2,3,756,3931,1398,14,6,13,1940,6847,6858,14,18,14,1972,2531,2563,3,20,2,1763,5586,1397,3,3,13,2589,3792,3106,2,16,13,2134,5775,4125,2,13,2,1622,6866,860,2,12,13,1495,1935,2763,17,20,12,1151,7799,1620,16,18,14,1733,6153,3068,17,2,2,2448,3522,1868,16,19,15,2890,5393,4198,3,12,14,5356,5113,2552,2,4,2,1739,3039,1812,2,2,14,2723,3361,4828
42,1,,,2,5,10,1,3213,3224,3266,1,1,1,2306,1163,2443,1,1,1,2410,1871,2619,8,1,1,3509,1762,2776,8,9,4,2247,3044,2273,5,1,1,1551,1645,5353,8,1,1,2740,1845,2127,8,9,1,4484,3534,4484,3,1,4,998,2786,3617,1,1,0,1102,2345,7400,1,9,0,4932,2463,2466,8,10,3,945,4016,2983,1,0,6,5544,3060,1749,0,0,0,2718,2138,1618,9,9,0,2661,2683,7531,9,0,3,2253,3370,3647,7,9,0,1529,2469,3241,9,9,4,3260,4442,3037,8,7,3,955,2047,3219,0,5,9,2985,3058,2701,9,3,0,926,12,1731,9,0,7,1165,3242,6645,9,9,7,1745,2822,2400,9,8,7,1329,3129,2578
41,0,,,2,10,15,10,3640,1257,938,12,15,5,2394,2180,4415,7,5,5,4144,1325,857,6,5,1,3803,914,1199,3,1,1,3600,2196,869,1,1,0,1974,1015,1022,0,2,0,2096,2545,1338,0,0,5,1931,3085,4309,5,10,6,2032,3180,1825,5,9,6,1943,2255,1691,5,2,0,2086,2016,5452,0,0,0,1705,3519,1547,0,0,5,2253,2425,900,1,0,8,1674,929,5433,5,5,8,1659,3170,8230,0,10,8,2222,2475,944,4,5,8,7294,946,1575,0,5,0,2470,3937,974,0,0,0,2425,1973,1741,10,0,10,1499,2688,6975,0,10,10,2119,3286,2075,2,0,0,3529,3401,936,9,0,0,5903,3419,1702,0,10,10,2795,1881,6314
43,0,,,1,0,10,10,4437,2023,7619,10,10,10,2301,1872,1992,10,10,10,1604,2068,1701,10,10,10,2414,1737,1469,0,0,0,1494,871,1264,0,0,0,2262,1685,1506,10,10,10,3500,1525,1358,10,10,13,3125,1886,5059,13,0,0,5251,1665,1255,0,0,0,2707,4152,1436,10,10,10,1874,2037,1494,10,10,10,2884,1979,3352,0,0,0,2390,1062,1479,10,10,15,3698,2265,4662,10,10,16,2852,3214,4079,0,0,0,1907,4081,2072,10,10,10,2429,1519,2650,0,0,0,2409,1453,1487,13,10,15,2880,1988,2799,0,15,0,2387,2250,1644,10,10,10,2928,2010,6698,13,13,16,2659,2652,3576,13,10,0,2820,3166,3435,10,10,10,3754,1818,3244
44,0,,,2,0,0,2,11738,2934,6376,0,0,0,4639,2958,2066,0,0,0,1448,2664,1944,1,0,0,1140,5739,1999,10,0,5,2430,7537,9706,15,10,4,10503,2348,10397,2,5,0,4459,3126,5497,0,0,6,2875,2217,11606,0,0,6,6108,4452,10464,1,0,0,1572,2322,3023,10,0,8,3651,1988,7984,10,0,0,11852,3839,3034,0,10,0,1895,9286,8501,0,0,8,6878,2201,3811,1,0,5,2035,3112,12158,10,9,7,2520,2168,2724,0,0,0,3326,3068,2848,2,0,0,6659,3406,1473,1,0,1,1177,5961,1717,8,9,8,1377,2093,3834,0,0,0,1198,5710,1954,1,0,0,11029,5960,1161,8,9,7,1327,6229,2841,1,0,0,6584,2487,1880
71,0,,,1,0,0,0,2810,2071,2551,0,0,0,1264,2187,1577,0,0,0,3460,2406,3837,0,0,0,2009,2276,3873,0,0,0,1339,2477,2796,0,0,0,4850,2458,1619,7,0,0,1398,1526,1484,0,0,0,1359,3956,1433,0,0,0,1594,2728,2699,0,0,0,1363,2979,1267,0,0,0,912,2980,2068,10,0,0,1365,5928,2230,0,0,0,5799,3979,2658,0,0,0,1875,4796,4552,9,0,0,1809,1752,2353,0,6,0,3907,1177,2547,0,6,20,5333,2850,7831,10,0,0,3782,1302,2549,0,0,15,1330,1733,1732,0,0,14,969,1246,2512,0,5,16,8363,7737,6161,10,5,17,8229,7352,2885,0,0,13,9289,7025,2050,0,0,0,1439,4719,1280
73,1,,,2,0,0,15,5641,1259,4300,0,14,0,951,1329,3533,13,14,0,1314,1121,3403,13,0,15,2453,1215,2563,0,0,0,1184,1431,2446,0,0,0,1913,1252,1844,11,14,14,4121,980,4138,11,0,15,1887,1022,2377,0,0,0,731,1188,2978,12,0,0,1172,992,4531,11,14,0,2072,920,5473,0,0,13,5638,1014,3377,0,0,0,1891,984,2903,11,14,0,1267,1235,4241,13,12,13,4369,1092,6960,0,0,0,1034,971,3229,9,13,0,1754,980,5623,8,0,14,4275,754,4078,0,0,0,966,942,4701,10,0,14,2873,1225,8732,8,12,0,1852,1024,11177,0,0,0,932,1022,6641,8,13,0,3091,1296,3897,11,12,14,6968,1159,6058
