num,rt_a1_r1,rt_a1_r2,rt_a1_r3,rt_a1_r4,rt_a1_r5,rt_a1_r6,rt_a1_r7,rt_a1_r8,rt_a1_r9,rt_a1_r10,rt_a1_r11,rt_a1_r12,rt_a1_r13,rt_a1_r14,rt_a1_r15,rt_a1_r16,rt_a1_r17,rt_a1_r18,rt_a1_r19,rt_a1_r20,rt_a1_r21,rt_a1_r22,rt_a1_r23,rt_a1_r24,rt_a2_r1,rt_a2_r2,rt_a2_r3,rt_a2_r4,rt_a2_r5,rt_a2_r6,rt_a2_r7,rt_a2_r8,rt_a2_r9,rt_a2_r10,rt_a2_r11,rt_a2_r12,rt_a2_r13,rt_a2_r14,rt_a2_r15,rt_a2_r16,rt_a2_r17,rt_a2_r18,rt_a2_r19,rt_a2_r20,rt_a2_r21,rt_a2_r22,rt_a2_r23,rt_a2_r24,rt_a3_r1,rt_a3_r2,rt_a3_r3,rt_a3_r4,rt_a3_r5,rt_a3_r6,rt_a3_r7,rt_a3_r8,rt_a3_r9,rt_a3_r10,rt_a3_r11,rt_a3_r12,rt_a3_r13,rt_a3_r14,rt_a3_r15,rt_a3_r16,rt_a3_r17,rt_a3_r18,rt_a3_r19,rt_a3_r20,rt_a3_r21,rt_a3_r22,rt_a3_r23,rt_a3_r24
76,1220,1124,919,3782,966,2044,2051,2883,4372,5274,7773,2310,3475,7348,1163,1965,2803,914,1701,3746,1283,6172,845,776,1389,1300,1708,7084,3968,1656,2286,3090,1178,1817,2591,1169,1698,1168,1083,2368,1225,1390,1107,1372,1896,1344,1485,1444,2292,1281,1559,2590,1425,1948,1273,1420,2466,1837,1635,1959,2156,1410,2253,2455,1564,1188,1543,1462,1515,1432,2631,3012
77,7263,4780,12901,1638,1579,933,1306,1217,731,948,800,1855,1277,3701,4590,892,3326,1442,609,1139,3364,3923,1428,1605,7067,4385,5798,1987,1167,2541,4591,3235,12123,1401,5658,7952,2276,2841,2096,2845,12875,3689,6516,10691,4760,6331,3998,6856,1885,1459,1512,2124,1220,1811,2216,2238,1680,1392,2341,1255,1949,5171,1463,1270,1956,2462,1763,2084,2636,3182,4749,1696
78,2987,3598,2246,3060,2671,5344,1956,3355,3272,1817,5793,5786,3055,2755,8253,2690,3542,2058,5058,3523,4520,3660,3706,2254,4338,2026,2472,2172,5207,1999,6843,5034,1838,1999,4287,1721,3193,1847,3865,4815,2972,1290,4884,2706,3973,2052,2150,3925,4230,1053,1605,2025,1997,1284,5076,1906,1002,1315,1322,1968,2516,886,975,2351,2997,1483,1453,1880,1769,2579,4202,1461
79,7223,8825,6545,2601,2809,635,8755,3211,2743,2723,2741,5145,4351,3925,2324,2233,2772,4351,6218,4673,1920,9192,2747,2557,7315,6269,3395,4256,3243,5054,3260,3352,2898,3506,2581,2254,2278,4468,2082,2319,4044,4318,2535,2639,2807,2636,2870,8747,3586,2631,3528,4233,3220,3508,2403,3040,2681,4467,2580,7419,2669,2656,2962,3398,2773,3317,2666,3588,2639,3493,8311,3118
80,4460,2677,2585,4016,3816,4884,6008,3316,3685,3137,3678,3110,3690,3300,4098,4431,2779,3539,2945,3688,3413,3839,3058,4374,7837,3877,1471,998,7575,2764,3639,4023,5893,12056,1472,6814,1026,2775,6976,3341,2759,5288,10726,1090,4358,9091,8642,5033,4750,11763,3044,11764,6939,10069,2580,2075,3671,9372,8909,8593,10812,5273,2786,2189,2263,3738,5689,9417,3668,11421,9819,4158
81,2761,1943,2281,2699,2921,2176,2920,2983,4330,2613,2345,2450,4228,3497,4658,3417,11306,5706,3671,8096,10781,3705,4789,2221,3548,2268,3380,1596,3061,1995,3918,2342,3803,4969,2467,5698,5432,4160,6791,5273,12779,7550,7945,10712,12,2719,6260,3815,3182,2375,1811,1589,3096,2260,2196,5339,5750,5572,8783,1785,3249,4687,7950,7087,5011,8830,6702,12926,9582,6518,9215,7029
82,3029,2147,5294,2174,3166,4365,10638,2809,2109,7111,2766,12,3348,2744,2623,2544,2232,2745,1624,2287,2157,1386,6409,1546,1517,2125,1482,1561,899,3346,5247,822,2258,2374,1989,2452,2081,2158,1814,2014,3136,1981,4762,843,2131,890,5010,2013,2185,1879,2924,1735,2470,1943,1772,1918,2052,2627,1975,3327,1756,3457,3530,2352,1769,2079,1057,1183,1348,1383,1720,1754
83,2886,3809,1149,1936,2014,2846,2439,1061,1889,4117,3228,2366,3785,859,1471,3335,2682,2299,2902,4658,3006,5459,4186,1552,890,2495,1179,2691,2571,1910,989,1578,898,769,1272,2471,1284,1004,2652,1601,703,632,1562,1311,1295,2299,1015,1288,2139,4814,10344,2351,1909,1845,4865,1345,4735,9959,1551,3965,8874,8347,942,10439,9401,2217,2226,7909,2089,1510,3236,2105
84,3551,2210,3539,1574,1746,1479,1784,1990,2148,1667,1139,2273,3677,4195,3737,1092,1798,2799,6232,1738,1422,1433,1671,1392,6502,2583,2478,3303,2946,7905,3537,6366,1954,4105,2838,4510,6744,2479,7061,2686,3144,1931,5281,2195,6308,3321,4900,4300,5079,2144,1321,5022,3766,6858,3219,1995,1507,2729,3051,1480,1537,1766,3766,1245,1662,1274,2048,2318,4036,1705,3291,7252
85,5666,1652,1624,8283,4383,3998,2671,2003,1596,3313,2567,2356,1364,2615,2872,2659,1743,7385,1635,5337,3081,1801,9000,2392,1175,887,1382,964,890,1045,1111,956,1202,875,902,819,1210,1420,1182,1021,1017,1212,951,802,919,878,1113,829,3569,4894,7206,8367,5228,2291,3064,2541,2404,4522,8311,4269,3118,5515,2782,2777,2077,3244,3507,9501,2156,2144,2229,2029
86,2377,1986,1845,2066,4137,6549,3264,3186,2466,2759,2959,6562,5034,3189,2728,4280,6969,8842,3059,5731,7011,7573,3517,5211,3955,3754,2872,5204,3106,7958,3230,2627,2453,2212,4184,5783,3883,4605,5202,5573,4726,4415,7128,4193,3149,9202,3281,2940,5796,8383,7185,11731,10044,9300,8876,11079,4600,6577,11777,12430,11750,12701,12366,10453,7415,11142,7933,10505,12,7920,4905,5946
