num,rt_a1_r1,rt_a1_r2,rt_a1_r3,rt_a1_r4,rt_a1_r5,rt_a1_r6,rt_a1_r7,rt_a1_r8,rt_a1_r9,rt_a1_r10,rt_a1_r11,rt_a1_r12,rt_a1_r13,rt_a1_r14,rt_a1_r15,rt_a1_r16,rt_a1_r17,rt_a1_r18,rt_a1_r19,rt_a1_r20,rt_a1_r21,rt_a1_r22,rt_a1_r23,rt_a1_r24,rt_a2_r1,rt_a2_r2,rt_a2_r3,rt_a2_r4,rt_a2_r5,rt_a2_r6,rt_a2_r7,rt_a2_r8,rt_a2_r9,rt_a2_r10,rt_a2_r11,rt_a2_r12,rt_a2_r13,rt_a2_r14,rt_a2_r15,rt_a2_r16,rt_a2_r17,rt_a2_r18,rt_a2_r19,rt_a2_r20,rt_a2_r21,rt_a2_r22,rt_a2_r23,rt_a2_r24,rt_a3_r1,rt_a3_r2,rt_a3_r3,rt_a3_r4,rt_a3_r5,rt_a3_r6,rt_a3_r7,rt_a3_r8,rt_a3_r9,rt_a3_r10,rt_a3_r11,rt_a3_r12,rt_a3_r13,rt_a3_r14,rt_a3_r15,rt_a3_r16,rt_a3_r17,rt_a3_r18,rt_a3_r19,rt_a3_r20,rt_a3_r21,rt_a3_r22,rt_a3_r23,rt_a3_r24
44,11738,4639,1448,1140,2430,10503,4459,2875,6108,1572,3651,11852,1895,6878,2035,2520,3326,6659,1177,1377,1198,11029,1327,6584,2934,2958,2664,5739,7537,2348,3126,2217,4452,2322,1988,3839,9286,2201,3112,2168,3068,3406,5961,2093,5710,5960,6229,2487,6376,2066,1944,1999,9706,10397,5497,11606,10464,3023,7984,3034,8501,3811,12158,2724,2848,1473,1717,3834,1954,1161,2841,1880
45,4157,1582,3619,1342,791,1661,1603,5329,1988,756,1940,1972,1763,2589,2134,1622,1495,1151,1733,2448,2890,5356,1739,2723,6079,1824,5418,3690,5857,3518,4236,7435,7267,3931,6847,2531,5586,3792,5775,6866,1935,7799,6153,3522,5393,5113,3039,3361,4923,7431,3578,5158,4334,1139,4234,2945,6441,1398,6858,2563,1397,3106,4125,860,2763,1620,3068,1868,4198,2552,1812,4828
46,4199,2466,2334,2638,3452,2034,2029,1926,4135,3385,2817,3311,3575,2045,2670,1588,1539,2410,1902,2248,1899,2759,6487,2323,3188,1591,7056,1872,1788,4447,1906,1749,2017,1834,2696,5429,1716,1986,2658,1790,2780,3776,3070,2596,2304,3328,1356,8756,2217,1288,1945,1280,2867,1548,1750,1840,1356,1374,1702,2811,2197,1946,1906,1866,2258,2289,2487,4771,2016,2950,3450,2266
47,2583,1044,1360,1966,1920,1175,4135,1570,8083,1456,3149,1132,1036,2590,2248,1833,1831,1092,1210,1867,2760,1783,1358,1931,2112,1128,1466,1560,820,769,1437,1517,1705,1365,851,2072,1708,1417,1064,1259,1348,4592,1336,7988,1134,5378,1218,835,3627,10928,6571,1922,3010,2196,1951,2356,6926,8468,2265,2505,3163,2048,9906,2897,2198,2771,2112,2628,3443,3016,2312,4165
48,3152,4147,3583,2680,3179,4140,3185,3693,3399,3308,2787,2993,3164,3766,2118,3185,4025,4242,6060,3023,3041,3110,2619,2607,1914,1163,1121,1926,1297,1468,1294,1116,1100,1383,1207,2302,1669,1110,1838,2232,1583,1566,2254,1948,1237,1323,1268,1129,1080,1238,1488,1927,1446,1441,1178,1398,1422,1529,1339,1292,1321,1419,1412,1212,1268,4303,5280,1228,2620,1653,1660,3035
49,1942,954,1749,5018,1316,1208,1257,990,853,953,1021,923,4911,8641,1013,1258,905,1366,973,2530,1051,1008,861,4861,941,963,1161,1395,5434,1182,575,2271,1100,2213,1218,1063,2554,1347,1319,1035,853,954,857,1225,881,849,733,1195,2739,2888,2229,4968,2432,2746,2661,1537,3141,3193,1876,1869,1978,1809,3447,2000,6552,1599,4034,2729,2162,1466,1227,2647
50,3229,3840,6075,1486,2170,5662,3040,1437,1869,3146,1024,7365,938,4660,5002,4963,9827,7932,7995,6175,2098,4644,981,4601,3291,3493,1458,2854,6411,3395,2840,1510,3706,1574,11995,7633,2574,4543,6790,8228,1431,4798,2238,6661,2997,4544,3103,2449,9666,6236,2513,3961,2987,1924,2260,5276,9042,5140,2591,2326,2612,2697,2286,3141,1436,3360,7724,2866,1992,4790,3028,3215
51,2705,1472,1401,1377,1004,1914,1109,949,884,908,981,887,1422,865,1367,1526,1080,1113,1733,1461,1052,786,1226,1243,2984,2906,4156,7325,1868,4700,2472,2654,2612,4332,6364,3232,4380,4102,6948,4427,4232,1756,1840,3986,2991,2201,1652,1717,2351,1174,2682,3980,4747,6068,3525,3011,1130,1315,2341,1787,2692,886,1984,2741,1100,4050,1860,2105,2210,1750,3423,2807
52,2859,2518,1972,3269,7523,6172,3101,2728,2515,3820,2389,4267,2823,2706,1976,1526,3625,3476,2129,2364,2179,2441,5127,4846,4387,4709,5636,5896,2923,3650,6454,2798,4442,4959,4524,6490,3097,10685,2377,3829,5035,4971,3507,5391,7441,4601,2420,8424,2790,2782,3877,5948,1856,3831,4979,4723,2518,4377,3691,7218,8407,1782,2724,6821,3621,5313,4636,7388,7212,4030,4574,6368
53,3212,2838,4045,2100,2305,1744,1054,1853,890,2450,1958,3301,3389,3506,1942,2455,4909,3895,1159,2520,959,2758,5134,4039,3268,1795,3722,1264,752,6189,2462,4147,1403,2727,2146,846,3332,2631,3177,1358,812,1068,2001,2154,2511,1382,1361,10372,9414,11633,6899,5352,12295,10473,9999,11311,8055,8000,9309,11595,9064,9473,9808,6568,7788,5371,8358,8448,7050,9276,6776,2747
54,1495,787,769,849,1800,603,811,638,839,969,593,1683,655,1308,727,874,783,686,827,741,795,1591,1983,3466,2429,2399,1761,1932,4828,2097,3939,1474,1818,1911,2833,2189,2545,4159,2171,4780,2241,1775,1575,1095,5999,2259,2108,4267,1078,2163,935,2867,1047,835,1085,1148,1604,2337,1865,1266,1540,2275,1218,2085,2669,1139,3286,4541,2604,4018,2003,1366
