num,a_le,a1_r1,a1_r2,a1_r3,a1_r4,a1_r5,a1_r6,a1_r7,a1_r8,a1_r9,a1_r10,a1_r11,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16,a1_r17,a1_r18,a1_r19,a1_r20,a1_r21,a1_r22,a1_r23,a1_r24,a2_r1,a2_r2,a2_r3,a2_r4,a2_r5,a2_r6,a2_r7,a2_r8,a2_r9,a2_r10,a2_r11,a2_r12,a2_r13,a2_r14,a2_r15,a2_r16,a2_r17,a2_r18,a2_r19,a2_r20,a2_r21,a2_r22,a2_r23,a2_r24,a3_r1,a3_r2,a3_r3,a3_r4,a3_r5,a3_r6,a3_r7,a3_r8,a3_r9,a3_r10,a3_r11,a3_r12,a3_r13,a3_r14,a3_r15,a3_r16,a3_r17,a3_r18,a3_r19,a3_r20,a3_r21,a3_r22,a3_r23,a3_r24
22,3,8,13,12,12,1,1,1,1,12,15,1,1,1,16,1,4,1,12,1,1,1,1,1,1,13,14,10,2,2,1,1,13,13,1,1,1,13,15,1,1,14,14,1,1,14,1,1,13,15,1,1,1,1,1,12,10,12,1,1,1,12,1,1,1,12,1,1,12,12,1,1,9
23,3,3,6,13,3,2,14,13,0,1,10,2,2,13,13,1,4,10,11,1,2,9,6,2,8,14,0,14,0,0,13,12,0,0,12,0,0,14,12,0,0,9,12,0,0,9,8,0,10,1,3,10,2,3,9,8,2,2,8,2,2,9,8,1,2,8,2,2,8,7,2,1,11
24,2,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,0,0,1,0,1,0,1,0,5,0,0,0,0,10,0,0,2,0,3,1,2,5,0,2,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
25,1,10,0,0,0,0,0,0,0,0,12,0,0,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,12,15,14,15,14,15,16,16,17,18,16,16,,,,,,,,,,,,,10,15,10,12,15,16,12,15,15,15,16,17,16,14,15,16,18,18,16,10,15,10,16,18,19,9,10,8,10,13,16,10,10,13,14,10,10,16,16,17,17,15,14,14,10,18,18,17
27,,,0,0,5,0,10,10,0,0,5,5,0,5,0,0,10,5,0,5,5,5,0,0,5,0,0,1,0,5,5,6,0,0,2,5,0,2,6,6,7,0,0,6,2,5,5,0,0,0,0,11,10,10,0,10,10,0,10,0,0,9,0,0,0,0,0,0,0,9,0,0,9
28,,,0,0,11,0,0,0,14,0,0,0,15,0,0,0,15,0,0,0,12,0,0,0,13,0,0,0,15,0,0,0,12,0,0,13,0,0,0,0,10,0,0,0,12,0,5,0,10,0,0,0,15,0,0,0,15,0,0,5,15,0,0,0,15,0,6,0,15,0,0,0,15
29,,,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,7,0,20,0,0,10,0,0,0,0,0,0,10,0,0,10,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0
30,,,9,9,14,10,13,10,1,12,13,12,13,15,13,14,1,0,16,13,12,14,0,2,0,7,9,9,15,9,10,15,9,9,9,9,9,12,13,13,6,5,3,3,9,12,9,5,3,7,8,8,10,10,11,10,12,0,8,10,11,12,12,12,0,1,0,10,9,11,12,0,0
32,,,0,10,15,1,10,1,1,2,0,10,0,0,0,0,15,1,0,15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,15,20,15,0,0,0,0,0,0,11,20,0,0,0,12,0,0,12,0,0,0,0,0
33,2,0,0,13,0,13,11,12,12,0,0,0,0,,,,,,,,,,,,0,1,1,15,1,15,12,12,12,0,0,0,0,12,12,0,0,12,0,0,15,0,14,15,0,0,0,12,0,11,12,12,11,0,0,0,0,11,10,0,0,10,0,0,0,0,0,0,0
34,3,5,0,3,0,0,10,0,0,0,5,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,12,10,0,0,0,0,12,14,0,0,1,12,10,0,0,15,0,0,11,13,0,0,0,0,1,10,0,0,0,0,1,20,0,0,0,1,20,0,0,0,0,0,10,15
35,3,12,1,12,1,12,1,14,1,14,1,14,1,12,1,13,1,12,1,12,1,12,1,12,1,13,2,13,1,12,2,13,1,13,1,1,14,13,5,13,2,13,1,13,1,13,1,13,1,15,1,15,1,13,14,14,1,15,13,1,1,14,13,6,10,14,1,13,1,1,1,15,1
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,0,0,0,10,0,0,0,0,10,0,0,1,0,0,10,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,1,10,0,0,7,0,10,0,15,0,10
38,1,0,0,0,9,0,0,0,10,10,10,0,0,10,12,10,0,10,0,10,0,9,13,0,10,0,0,8,8,0,0,0,8,0,8,0,0,8,0,9,0,9,0,0,8,8,0,9,0,0,0,0,8,0,0,0,0,0,10,0,8,7,0,8,0,8,0,0,0,9,0,9,9
39,3,9,10,13,7,1,3,2,7,8,11,3,13,1,1,12,13,8,3,2,13,12,11,1,1,10,10,4,10,5,2,5,5,10,11,2,3,2,8,7,10,1,3,2,10,11,1,2,8,14,14,14,5,6,12,12,12,13,12,14,1,11,11,11,12,2,2,12,12,13,1,1,12
40,2,0,0,13,0,0,14,0,14,14,0,14,0,17,0,13,0,14,16,16,0,0,5,3,0,0,14,10,0,0,13,0,10,12,0,10,5,10,0,10,0,10,0,0,10,10,11,0,0,10,8,6,14,0,8,8,10,1,12,8,12,0,3,10,0,10,0,16,0,10,12,13,8
41,,10,12,7,6,3,1,0,0,5,5,5,0,0,1,5,0,4,0,0,10,0,2,9,0,15,15,5,5,1,1,2,0,10,9,2,0,0,0,5,10,5,5,0,0,10,0,0,10,10,5,5,1,1,0,0,5,6,6,0,0,5,8,8,8,8,0,0,10,10,0,0,10
42,,5,1,1,8,8,5,8,8,3,1,1,8,1,0,9,9,7,9,8,0,9,9,9,9,10,1,1,1,9,1,1,9,1,1,9,10,0,0,9,0,9,9,7,5,3,0,9,8,1,1,1,1,4,1,1,1,4,0,0,3,6,0,0,3,0,4,3,9,0,7,7,7
43,,0,10,10,10,0,0,10,10,13,0,10,10,0,10,10,0,10,0,13,0,10,13,13,10,10,10,10,10,0,0,10,10,0,0,10,10,0,10,10,0,10,0,10,15,10,13,10,10,10,10,10,10,0,0,10,13,0,0,10,10,0,15,16,0,10,0,15,0,10,16,0,10
44,,0,0,0,1,10,15,2,0,0,1,10,10,0,0,1,10,0,2,1,8,0,1,8,1,0,0,0,0,0,10,5,0,0,0,0,0,10,0,0,9,0,0,0,9,0,0,9,0,2,0,0,0,5,4,0,6,6,0,8,0,0,8,5,7,0,0,1,8,0,0,7,0
